Date,Employee_ID,Employee_Name,Project_ID,Job_Code,Regular_Hours,Overtime_Hours,Total_Hours,Comments
2025-06-09,01000,Worker_1,PRJ102,Laborer,6.0,0,6.0,Left early
2025-06-10,01000,Worker_1,PRJ102,Laborer,9.0,0,9.0,Completed assigned task
2025-06-11,01000,Worker_1,PRJ102,Laborer,7.5,0,7.5,Worked late
2025-06-12,01000,Worker_1,PRJ102,Laborer,8.0,2,10.0,Completed assigned task
2025-06-13,01000,Worker_1,PRJ102,Laborer,8.0,1,9.0,Completed assigned task
2025-06-16,01000,Worker_1,PRJ102,Laborer,8.0,2,10.0,Worked late
2025-06-17,01000,Worker_1,PRJ102,Laborer,7.5,0,7.5,
2025-06-18,01000,Worker_1,PRJ102,Laborer,6.0,0,6.0,Left early
2025-06-19,01000,Worker_1,PRJ102,Laborer,7.5,0,7.5,Worked late
2025-06-20,01000,Worker_1,PRJ102,Laborer,8.0,2,10.0,Left early
2025-06-09,01001,Worker_2,PRJ104,Welder,9.0,0,9.0,Completed assigned task
2025-06-10,01001,Worker_2,PRJ104,Welder,8.0,0,8.0,
2025-06-11,01001,Worker_2,PRJ104,Welder,7.5,0,7.5,Training
2025-06-12,01001,Worker_2,PRJ104,Welder,8.0,0,8.0,Worked late
2025-06-13,01001,Worker_2,PRJ104,Welder,8.0,1,9.0,
2025-06-16,01001,Worker_2,PRJ104,Welder,8.0,0,8.0,Worked late
2025-06-17,01001,Worker_2,PRJ104,Welder,8.0,1,9.0,Worked late
2025-06-18,01001,Worker_2,PRJ104,Welder,6.0,0,6.0,Minor equipment issue
2025-06-19,01001,Worker_2,PRJ104,Welder,8.0,0,8.0,Training
2025-06-20,01001,Worker_2,PRJ104,Welder,9.0,2,11.0,Left early
2025-06-09,01002,Worker_3,PRJ101,Welder,8.0,2,10.0,Training
2025-06-10,01002,Worker_3,PRJ101,Welder,7.5,0,7.5,Worked late
2025-06-11,01002,Worker_3,PRJ101,Welder,8.0,0,8.0,Normal day
2025-06-12,01002,Worker_3,PRJ101,Welder,6.0,0,6.0,
2025-06-13,01002,Worker_3,PRJ101,Welder,8.0,0,8.0,Completed assigned task
2025-06-16,01002,Worker_3,PRJ101,Welder,8.0,0,8.0,Minor equipment issue
2025-06-17,01002,Worker_3,PRJ101,Welder,8.0,2,10.0,Training
2025-06-18,01002,Worker_3,PRJ101,Welder,7.5,0,7.5,Minor equipment issue
2025-06-19,01002,Worker_3,PRJ101,Welder,8.0,0,8.0,Worked late
2025-06-20,01002,Worker_3,PRJ101,Welder,7.5,0,7.5,Minor equipment issue
2025-06-09,01003,Worker_4,PRJ103,Laborer,8.0,0,8.0,Completed assigned task
2025-06-10,01003,Worker_4,PRJ103,Laborer,8.0,0,8.0,Normal day
2025-06-11,01003,Worker_4,PRJ103,Laborer,8.0,0,8.0,Minor equipment issue
2025-06-12,01003,Worker_4,PRJ103,Laborer,6.0,0,6.0,Completed assigned task
2025-06-13,01003,Worker_4,PRJ103,Laborer,8.0,2,10.0,Worked late
2025-06-16,01003,Worker_4,PRJ103,Laborer,8.0,1,9.0,Normal day
2025-06-17,01003,Worker_4,PRJ103,Laborer,8.0,0,8.0,Normal day
2025-06-18,01003,Worker_4,PRJ103,Laborer,7.5,0,7.5,Minor equipment issue
2025-06-19,01003,Worker_4,PRJ103,Laborer,9.0,2,11.0,Normal day
2025-06-20,01003,Worker_4,PRJ103,Laborer,8.0,0,8.0,Left early
2025-06-09,01004,Worker_5,PRJ101,Electrician,8.0,0,8.0,Left early
2025-06-10,01004,Worker_5,PRJ101,Electrician,6.0,0,6.0,
2025-06-11,01004,Worker_5,PRJ101,Electrician,8.0,1,9.0,Left early
2025-06-12,01004,Worker_5,PRJ101,Electrician,8.0,1,9.0,Minor equipment issue
2025-06-13,01004,Worker_5,PRJ101,Electrician,8.0,1,9.0,Training
2025-06-16,01004,Worker_5,PRJ101,Electrician,6.0,0,6.0,Training
2025-06-17,01004,Worker_5,PRJ101,Electrician,6.0,0,6.0,Completed assigned task
2025-06-18,01004,Worker_5,PRJ101,Electrician,8.0,2,10.0,Normal day
2025-06-19,01004,Worker_5,PRJ101,Electrician,8.0,0,8.0,Minor equipment issue
2025-06-20,01004,Worker_5,PRJ101,Electrician,8.0,0,8.0,Training
2025-06-09,01005,Worker_6,PRJ103,Plumber,8.0,2,10.0,
2025-06-10,01005,Worker_6,PRJ103,Plumber,8.0,0,8.0,Left early
2025-06-11,01005,Worker_6,PRJ103,Plumber,8.0,0,8.0,Training
2025-06-12,01005,Worker_6,PRJ103,Plumber,9.0,2,11.0,Minor equipment issue
2025-06-13,01005,Worker_6,PRJ103,Plumber,8.0,1,9.0,Left early
2025-06-16,01005,Worker_6,PRJ103,Plumber,8.0,0,8.0,Worked late
2025-06-17,01005,Worker_6,PRJ103,Plumber,7.5,0,7.5,Left early
2025-06-18,01005,Worker_6,PRJ103,Plumber,8.0,0,8.0,Training
2025-06-19,01005,Worker_6,PRJ103,Plumber,8.0,0,8.0,Normal day
2025-06-20,01005,Worker_6,PRJ103,Plumber,7.5,0,7.5,Left early
2025-06-09,01006,Worker_7,PRJ103,Carpenter,8.0,2,10.0,Worked late
2025-06-10,01006,Worker_7,PRJ103,Carpenter,8.0,0,8.0,Worked late
2025-06-11,01006,Worker_7,PRJ103,Carpenter,6.0,0,6.0,Minor equipment issue
2025-06-12,01006,Worker_7,PRJ103,Carpenter,8.0,1,9.0,Worked late
2025-06-13,01006,Worker_7,PRJ103,Carpenter,8.0,2,10.0,Left early
2025-06-16,01006,Worker_7,PRJ103,Carpenter,8.0,2,10.0,Left early
2025-06-17,01006,Worker_7,PRJ103,Carpenter,8.0,1,9.0,Left early
2025-06-18,01006,Worker_7,PRJ103,Carpenter,9.0,0,9.0,Left early
2025-06-19,01006,Worker_7,PRJ103,Carpenter,8.0,2,10.0,Completed assigned task
2025-06-20,01006,Worker_7,PRJ103,Carpenter,9.0,2,11.0,
2025-06-09,01007,Worker_8,PRJ100,Laborer,8.0,1,9.0,
2025-06-10,01007,Worker_8,PRJ100,Laborer,8.0,2,10.0,Left early
2025-06-11,01007,Worker_8,PRJ100,Laborer,6.0,0,6.0,Left early
2025-06-12,01007,Worker_8,PRJ100,Laborer,6.0,0,6.0,
2025-06-13,01007,Worker_8,PRJ100,Laborer,8.0,0,8.0,Completed assigned task
2025-06-16,01007,Worker_8,PRJ100,Laborer,7.5,0,7.5,
